Time,System,RPM,Abs,X_10_9,V
0,Chemostat,56,0.133,880944,12.5
1,Chemostat,56,9.7,880944,12.5
2,Chemostat,56,3.855,880944,12.5
3,Chemostat,56,2.237,880944,12.5
4,Chemostat,56,1.37,880944,12.5
5,Chemostat,56,0.729,880944,12.5
6,Chemostat,56,0.388,880944,12.5
7,Chemostat,56,0.197,880944,12.5
8,Chemostat,56,0.094,880944,12.5
9,Chemostat,56,0.045,880944,12.5
10,Chemostat,56,0.017,880944,12.5
11,Chemostat,56,0.006,880944,12.5
12,Chemostat,56,0,880944,12.5
13,Chemostat,56,0,880944,12.5
14,Chemostat,56,0.101,880944,12.5
15,Chemostat,56,0,880944,12.5
16,Chemostat,56,0,880944,12.5
17,Chemostat,56,0,880944,12.5
18,Chemostat,56,0,880944,12.5
19,Chemostat,56,0,880944,12.5
20,Chemostat,56,0,880944,12.5
21,Chemostat,56,0,880944,12.5
22,Chemostat,56,0,880944,12.5
23,Chemostat,56,0,880944,12.5
24,Chemostat,56,0.002,880944,12.5
25,Chemostat,56,0,880944,12.5
26,Chemostat,56,0,880944,12.5
27,Chemostat,56,0,880944,12.5
28,Chemostat,56,0,880944,12.5
29,Chemostat,56,0.046,880944,12.5
30,Chemostat,56,0,880944,12.5
31,Chemostat,56,0,880944,17
0,Gut_NoVilli,56,0.148,880944,12.5
1,Gut_NoVilli,56,4.96,880944,12.5
2,Gut_NoVilli,56,2.534,880944,12.5
3,Gut_NoVilli,56,1.438,880944,12.5
4,Gut_NoVilli,56,0.989,880944,12.5
5,Gut_NoVilli,56,0.71,880944,12.5
6,Gut_NoVilli,56,0.486,880944,12.5
7,Gut_NoVilli,56,0.346,880944,12.5
8,Gut_NoVilli,56,0.251,880944,12.5
9,Gut_NoVilli,56,0.194,880944,12.5
10,Gut_NoVilli,56,0.149,880944,12.5
11,Gut_NoVilli,56,0.13,880944,12.5
12,Gut_NoVilli,56,0.119,880944,12.5
13,Gut_NoVilli,56,0.105,880944,12.5
14,Gut_NoVilli,56,0.099,880944,12.5
15,Gut_NoVilli,56,0.094,880944,12.5
16,Gut_NoVilli,56,0.09,880944,12.5
17,Gut_NoVilli,56,0.084,880944,12.5
18,Gut_NoVilli,56,0.078,880944,12.5
19,Gut_NoVilli,56,0.072,880944,12.5
20,Gut_NoVilli,56,0.072,880944,12.5
21,Gut_NoVilli,56,0.069,880944,12.5
22,Gut_NoVilli,56,0.068,880944,12.5
23,Gut_NoVilli,56,0.069,880944,12.5
24,Gut_NoVilli,56,0.062,880944,12.5
25,Gut_NoVilli,56,0.15,880944,12.5
26,Gut_NoVilli,56,0.06,880944,12.5
27,Gut_NoVilli,56,0.06,880944,12.5
28,Gut_NoVilli,56,0.059,880944,12.5
29,Gut_NoVilli,56,0.063,880944,12.5
30,Gut_NoVilli,56,0.063,880944,12.5
31,Gut_NoVilli,56,10.62,880944,17
0,Chemostat,30,0,850294,6.3
1,Chemostat,30,14,850294,6.3
2,Chemostat,30,7.87,850294,6.3
3,Chemostat,30,3.683,850294,6.3
4,Chemostat,30,2.179,850294,6.3
5,Chemostat,30,1.235,850294,6.3
6,Chemostat,30,0.684,850294,6.3
7,Chemostat,30,0.371,850294,6.3
8,Chemostat,30,0.203,850294,6.3
9,Chemostat,30,0.107,850294,6.3
10,Chemostat,30,0.055,850294,6.3
11,Chemostat,30,0.029,850294,6.3
12,Chemostat,30,0.017,850294,6.3
13,Chemostat,30,0.01,850294,6.3
14,Chemostat,30,0.005,850294,6.3
15,Chemostat,30,0.003,850294,6.3
16,Chemostat,30,0.001,850294,6.3
17,Chemostat,30,0,850294,6.3
18,Chemostat,30,0,850294,6.3
19,Chemostat,30,0,850294,6.3
20,Chemostat,30,0.002,850294,6.3
21,Chemostat,30,0.003,850294,6.3
22,Chemostat,30,0,850294,6.3
23,Chemostat,30,0,850294,6.3
24,Chemostat,30,0,850294,6.3
25,Chemostat,30,0.001,850294,6.3
26,Chemostat,30,0.001,850294,6.3
27,Chemostat,30,0,850294,6.3
28,Chemostat,30,0,850294,6.3
29,Chemostat,30,0.001,850294,6.3
30,Chemostat,30,0.003,850294,6.3
31,Chemostat,30,0.001,850294,17
0,Gut_NoVilli,30,0,850294,6.3
1,Gut_NoVilli,30,0.548,850294,6.3
2,Gut_NoVilli,30,2.326,850294,6.3
3,Gut_NoVilli,30,1.865,850294,6.3
4,Gut_NoVilli,30,1.451,850294,6.3
5,Gut_NoVilli,30,1.056,850294,6.3
6,Gut_NoVilli,30,0.749,850294,6.3
7,Gut_NoVilli,30,0.572,850294,6.3
8,Gut_NoVilli,30,0.447,850294,6.3
9,Gut_NoVilli,30,0.37,850294,6.3
10,Gut_NoVilli,30,0.327,850294,6.3
11,Gut_NoVilli,30,0.308,850294,6.3
12,Gut_NoVilli,30,0.297,850294,6.3
13,Gut_NoVilli,30,0.259,850294,6.3
14,Gut_NoVilli,30,0.237,850294,6.3
15,Gut_NoVilli,30,0.193,850294,6.3
16,Gut_NoVilli,30,0.162,850294,6.3
17,Gut_NoVilli,30,0.139,850294,6.3
18,Gut_NoVilli,30,0.119,850294,6.3
19,Gut_NoVilli,30,0.111,850294,6.3
20,Gut_NoVilli,30,0.098,850294,6.3
21,Gut_NoVilli,30,0.089,850294,6.3
22,Gut_NoVilli,30,0.084,850294,6.3
23,Gut_NoVilli,30,0.077,850294,6.3
24,Gut_NoVilli,30,0.072,850294,6.3
25,Gut_NoVilli,30,0.067,850294,6.3
26,Gut_NoVilli,30,0.065,850294,6.3
27,Gut_NoVilli,30,0.059,850294,6.3
28,Gut_NoVilli,30,0.052,850294,6.3
29,Gut_NoVilli,30,0.054,850294,6.3
30,Gut_NoVilli,30,0.05,850294,6.3
31,Gut_NoVilli,30,14.08,850294,17
0,Chemostat,7,0.001,901253,1.4
1,Chemostat,7,13,901253,1.4
2,Chemostat,7,14.22,901253,1.4
3,Chemostat,7,12.91,901253,1.4
4,Chemostat,7,12.07,901253,1.4
5,Chemostat,7,11.22,901253,1.4
6,Chemostat,7,10.32,901253,1.4
7,Chemostat,7,9.22,901253,1.4
8,Chemostat,7,8.6,901253,1.4
9,Chemostat,7,8.06,901253,1.4
10,Chemostat,7,7.38,901253,1.4
11,Chemostat,7,6.71,901253,1.4
12,Chemostat,7,9.41,901253,1.4
13,Chemostat,7,5.93,901253,1.4
14,Chemostat,7,5.24,901253,1.4
15,Chemostat,7,4.89,901253,1.4
16,Chemostat,7,4.34,901253,1.4
17,Chemostat,7,3.728,901253,1.4
18,Chemostat,7,3.545,901253,1.4
19,Chemostat,7,3.35,901253,1.4
20,Chemostat,7,3.095,901253,1.4
21,Chemostat,7,2.951,901253,1.4
22,Chemostat,7,2.77,901253,1.4
23,Chemostat,7,2.456,901253,1.4
24,Chemostat,7,2.301,901253,1.4
25,Chemostat,7,2.135,901253,1.4
26,Chemostat,7,1.98,901253,1.4
27,Chemostat,7,1.84,901253,1.4
28,Chemostat,7,1.683,901253,1.4
29,Chemostat,7,1.594,901253,1.4
30,Chemostat,7,1.435,901253,1.4
31,Chemostat,7,1.323,901253,17
0,Gut_NoVilli,7,0.002,901253,1.4
1,Gut_NoVilli,7,0.002,901253,1.4
2,Gut_NoVilli,7,0.032,901253,1.4
3,Gut_NoVilli,7,0.266,901253,1.4
4,Gut_NoVilli,7,0.204,901253,1.4
5,Gut_NoVilli,7,0.264,901253,1.4
6,Gut_NoVilli,7,0.418,901253,1.4
7,Gut_NoVilli,7,0.501,901253,1.4
8,Gut_NoVilli,7,0.516,901253,1.4
9,Gut_NoVilli,7,0.562,901253,1.4
10,Gut_NoVilli,7,0.574,901253,1.4
11,Gut_NoVilli,7,0.496,901253,1.4
12,Gut_NoVilli,7,0.421,901253,1.4
13,Gut_NoVilli,7,0.353,901253,1.4
14,Gut_NoVilli,7,0.301,901253,1.4
15,Gut_NoVilli,7,0.27,901253,1.4
16,Gut_NoVilli,7,0.236,901253,1.4
17,Gut_NoVilli,7,0.231,901253,1.4
18,Gut_NoVilli,7,0.192,901253,1.4
19,Gut_NoVilli,7,0.193,901253,1.4
20,Gut_NoVilli,7,0.175,901253,1.4
21,Gut_NoVilli,7,0.167,901253,1.4
22,Gut_NoVilli,7,0.152,901253,1.4
23,Gut_NoVilli,7,0.14,901253,1.4
24,Gut_NoVilli,7,0.133,901253,1.4
25,Gut_NoVilli,7,0.128,901253,1.4
26,Gut_NoVilli,7,0.117,901253,1.4
27,Gut_NoVilli,7,0.108,901253,1.4
28,Gut_NoVilli,7,0.096,901253,1.4
29,Gut_NoVilli,7,0.085,901253,1.4
30,Gut_NoVilli,7,0.081,901253,1.4
31,Gut_NoVilli,7,9.45,901253,17
0,Chemostat,15,0,815740,3.1
1,Chemostat,15,13.98,815740,3.1
2,Chemostat,15,13.93,815740,3.1
3,Chemostat,15,11.4,815740,3.1
4,Chemostat,15,9.52,815740,3.1
5,Chemostat,15,7.75,815740,3.1
6,Chemostat,15,6.83,815740,3.1
7,Chemostat,15,5.49,815740,3.1
8,Chemostat,15,3.902,815740,3.1
9,Chemostat,15,3.492,815740,3.1
10,Chemostat,15,2.99,815740,3.1
11,Chemostat,15,2.524,815740,3.1
12,Chemostat,15,2.11,815740,3.1
13,Chemostat,15,1.778,815740,3.1
14,Chemostat,15,1.479,815740,3.1
15,Chemostat,15,1.245,815740,3.1
16,Chemostat,15,1.049,815740,3.1
17,Chemostat,15,0.872,815740,3.1
18,Chemostat,15,0.719,815740,3.1
19,Chemostat,15,0.597,815740,3.1
20,Chemostat,15,0.501,815740,3.1
21,Chemostat,15,0.408,815740,3.1
22,Chemostat,15,0.341,815740,3.1
23,Chemostat,15,0.28,815740,3.1
24,Chemostat,15,0.229,815740,3.1
25,Chemostat,15,0.195,815740,3.1
26,Chemostat,15,0.163,815740,3.1
27,Chemostat,15,0.129,815740,3.1
28,Chemostat,15,0.106,815740,3.1
29,Chemostat,15,0.085,815740,3.1
30,Chemostat,15,0.069,815740,3.1
31,Chemostat,15,0.06,815740,17
0,Gut_NoVilli,15,0,815740,3.1
1,Gut_NoVilli,15,0.323,815740,3.1
2,Gut_NoVilli,15,2.475,815740,3.1
3,Gut_NoVilli,15,2.43,815740,3.1
4,Gut_NoVilli,15,1.833,815740,3.1
5,Gut_NoVilli,15,1.447,815740,3.1
6,Gut_NoVilli,15,1.22,815740,3.1
7,Gut_NoVilli,15,1.04,815740,3.1
8,Gut_NoVilli,15,0.915,815740,3.1
9,Gut_NoVilli,15,0.727,815740,3.1
10,Gut_NoVilli,15,0.587,815740,3.1
11,Gut_NoVilli,15,0.457,815740,3.1
12,Gut_NoVilli,15,0.37,815740,3.1
13,Gut_NoVilli,15,0.32,815740,3.1
14,Gut_NoVilli,15,0.284,815740,3.1
15,Gut_NoVilli,15,0.245,815740,3.1
16,Gut_NoVilli,15,0.221,815740,3.1
17,Gut_NoVilli,15,0.184,815740,3.1
18,Gut_NoVilli,15,0.168,815740,3.1
19,Gut_NoVilli,15,0.149,815740,3.1
20,Gut_NoVilli,15,0.138,815740,3.1
21,Gut_NoVilli,15,0.115,815740,3.1
22,Gut_NoVilli,15,0.105,815740,3.1
23,Gut_NoVilli,15,0.095,815740,3.1
24,Gut_NoVilli,15,0.086,815740,3.1
25,Gut_NoVilli,15,0.079,815740,3.1
26,Gut_NoVilli,15,0.074,815740,3.1
27,Gut_NoVilli,15,0.073,815740,3.1
28,Gut_NoVilli,15,0.065,815740,3.1
29,Gut_NoVilli,15,0.06,815740,3.1
30,Gut_NoVilli,15,0.056,815740,3.1
31,Gut_NoVilli,15,15.21,815740,17
0,Chemostat,72,0,803069,16.5
1,Chemostat,72,9.95,803069,16.5
2,Chemostat,72,3.896,803069,16.5
3,Chemostat,72,1.891,803069,16.5
4,Chemostat,72,0.83,803069,16.5
5,Chemostat,72,0.353,803069,16.5
6,Chemostat,72,0.144,803069,16.5
7,Chemostat,72,0.058,803069,16.5
8,Chemostat,72,0.021,803069,16.5
9,Chemostat,72,0.005,803069,16.5
10,Chemostat,72,0,803069,16.5
11,Chemostat,72,0,803069,16.5
12,Chemostat,72,0,803069,16.5
13,Chemostat,72,0,803069,16.5
14,Chemostat,72,0,803069,16.5
15,Chemostat,72,0,803069,16.5
16,Chemostat,72,0,803069,16.5
17,Chemostat,72,0,803069,16.5
18,Chemostat,72,0,803069,16.5
19,Chemostat,72,0.083,803069,16.5
20,Chemostat,72,0,803069,16.5
21,Chemostat,72,0,803069,16.5
22,Chemostat,72,0,803069,16.5
23,Chemostat,72,0,803069,16.5
24,Chemostat,72,0,803069,16.5
25,Chemostat,72,0,803069,16.5
26,Chemostat,72,0,803069,16.5
27,Chemostat,72,0,803069,16.5
28,Chemostat,72,0,803069,16.5
29,Chemostat,72,0,803069,16.5
30,Chemostat,72,0,803069,16.5
31,Chemostat,72,0,803069,17
0,Gut_NoVilli,72,0.301,803069,16.5
1,Gut_NoVilli,72,3.482,803069,16.5
2,Gut_NoVilli,72,2.072,803069,16.5
3,Gut_NoVilli,72,0.98,803069,16.5
4,Gut_NoVilli,72,0.54,803069,16.5
5,Gut_NoVilli,72,0.32,803069,16.5
6,Gut_NoVilli,72,0.221,803069,16.5
7,Gut_NoVilli,72,0.17,803069,16.5
8,Gut_NoVilli,72,0.226,803069,16.5
9,Gut_NoVilli,72,0.168,803069,16.5
10,Gut_NoVilli,72,0.122,803069,16.5
11,Gut_NoVilli,72,0.1,803069,16.5
12,Gut_NoVilli,72,0.084,803069,16.5
13,Gut_NoVilli,72,0.076,803069,16.5
14,Gut_NoVilli,72,0.074,803069,16.5
15,Gut_NoVilli,72,0.078,803069,16.5
16,Gut_NoVilli,72,0.077,803069,16.5
17,Gut_NoVilli,72,0.075,803069,16.5
18,Gut_NoVilli,72,0.071,803069,16.5
19,Gut_NoVilli,72,0.07,803069,16.5
20,Gut_NoVilli,72,0.067,803069,16.5
21,Gut_NoVilli,72,0.064,803069,16.5
22,Gut_NoVilli,72,0.065,803069,16.5
23,Gut_NoVilli,72,0.066,803069,16.5
24,Gut_NoVilli,72,0.066,803069,16.5
25,Gut_NoVilli,72,0.064,803069,16.5
26,Gut_NoVilli,72,0.066,803069,16.5
27,Gut_NoVilli,72,0.068,803069,16.5
28,Gut_NoVilli,72,0.062,803069,16.5
29,Gut_NoVilli,72,0.064,803069,16.5
30,Gut_NoVilli,72,0.06,803069,16.5
31,Gut_NoVilli,72,8.73,803069,17
